Year,Temperature
2010,0.72
2005,0.68
2007,0.66
2009,0.66
2006,0.64
2002,0.63
2003,0.62
1998,0.61
2001,0.54
2004,0.54
2008,0.54
1997,0.46
1990,0.45
1995,0.45
1991,0.4
1988,0.39
2000,0.39
1999,0.38
1996,0.33
1981,0.32
1987,0.32
1994,0.32
1983,0.31
1989,0.27
1980,0.26
1993,0.23
1992,0.22
1944,0.2
1941,0.19
1977,0.18
1986,0.18
1979,0.17
1973,0.16
1984,0.16
1982,0.14
1940,0.13
1985,0.12
1943,0.09
1945,0.09
1953,0.08
1942,0.07
1978,0.07
1958,0.06
1961,0.06
1957,0.05
1963,0.05
1969,0.05
1959,0.03
1962,0.03
1970,0.03
1952,0.01
1972,0.01
1938,0.0
1975,-0.01
1937,-0.02
1939,-0.02
1967,-0.02
1947,-0.03
1960,-0.03
1966,-0.06
1881,-0.07
1946,-0.07
1951,-0.07
1974,-0.07
1900,-0.08
1968,-0.08
1971,-0.08
1931,-0.09
1882,-0.1
1889,-0.1
1976,-0.1
1896,-0.11
1897,-0.11
1926,-0.11
1948,-0.11
1949,-0.11
1965,-0.11
1934,-0.12
1954,-0.13
1915,-0.14
1955,-0.14
1901,-0.15
1914,-0.15
1936,-0.15
1880,-0.16
1930,-0.16
1932,-0.16
1883,-0.17
1888,-0.17
1899,-0.17
1950,-0.17
1921,-0.19
1956,-0.19
1928,-0.2
1935,-0.2
1964,-0.2
1891,-0.22
1895,-0.22
1906,-0.22
1925,-0.22
1927,-0.22
1905,-0.26
1892,-0.27
1898,-0.27
1902,-0.27
1920,-0.27
1923,-0.27
1924,-0.27
1884,-0.28
1919,-0.28
1922,-0.28
1918,-0.29
1933,-0.29
1894,-0.3
1886,-0.31
1893,-0.31
1885,-0.33
1913,-0.34
1890,-0.35
1887,-0.36
1912,-0.36
1916,-0.36
1929,-0.36
1903,-0.37
1907,-0.38
1908,-0.43
1910,-0.43
1911,-0.44
1904,-0.46
1917,-0.46
1909,-0.48
